CID,Username,Password,Signature,Type,FirstName,LastName,ClientID,ClientSecret
1,admin,adminpass,g0t r00t?,User,System,Administrator,7fbd868431781bd3c3e9a4353fe9fd20,4a9e44d914814463479ed892c316afbd25409a1844ed33696430e70eb0eb50fd
2,adrian,somepassword,Zombie Films Rock!,User,Adrian,Crenshaw,21999cf26a397bd7bbdb6447eff9d046,dfb918cabd3beeb5b74c164c6e4a34f71836aefe5f85499589decc2e23db6fd8
3,patches,tortoise,meow,User,Patches,Pester,c9c7781d5ceac013187de68edbcc82d1,8e0005fde2e0c84cb8ae36c4e6a1342055061616d66a625973054b6157149c06
4,jeremy,password,d1373 1337 speak,User,Jeremy,Druin,ab6db00a501311fdf8168b4574a6aed6,f90adfc8401073b00bae59add3718d115445de473f10054beb08f3313bb4c556
5,bryce,password,I Love SANS,User,Bryce,Galbraith,24329513c048371859eb659f1db4a3d4,594907f46ff6f9d5df086eb3af7e85362f7396a5fb925e26e9aab354ab25f2e1
6,samurai,samurai,Carving fools,User,Samurai,WTF,a61b8268d3384ef7b4277d4356d9b6c8,f7f2d53c2914fafc669795c5ce18018ace3e81f0bba55c7c1ff6e6408362ba3f
7,dodgerjim,password,Rome is burning,User,Jim,Rome,69aefe47a900c5d1895d880cd027047f,576da41855d70bf35c7bd11e49d4ebcc9435dce9fa0e79d5b300db61cb6aec98
8,bobby,password,Hank is my dad,User,Bobby,Hill,1267ee5daa95631f2d808466f8f9baf8,346cd624f1e4bf7fc7e3d8c597b9bff41dfb47716d584062bfad9cbc43b6e655
9,simba,password,I am a super-cat,User,Simba,Lion,738a87224326b98532bc5f9a94bbd542,487287f37c4440b91eaaf1ab4d0210ca4c0c1e610f34cc2d75b6167c5cce7196
10,dreveil,password,Preparation H,User,Dr.,Evil,b8e6d38aed288e5ba0265d8275ce37a1,e4eb273ab63a1fa1a5e7006acac5f7e6933bc11bcf610d8384231e4cc52e010b
11,scotty,password,Scotty do,User,Scotty,Evil,e2e8fc3c066dbba0f75e066551d81f91,85685d4f366d40db6478f10512af9f916b71f8ab3b4a5a415771789e76512e67
12,cal,password,C-A-T-S Cats Cats Cats,User,John,Calipari,1a35ea93da95360db96b6a2b73094d04,b6d58bce9317355d08cb8d13c95596287386c86301c3aa2ff7e45d8877f32f37
